     ,ra       ,dec       ,parallax  ,parallax_er ,pmra      ,pmdec     ,photo_g_mean_mag ,photo_bp_mean_mag ,photo_rb_mean_mag
 489 ,64.01019 , 7.822601 , 19.21584 ,   0.301421 ,154.9898  ,-139.3394 ,       17.15613  ,        19.37128  ,15.3685
 490 ,63.68893 ,19.06384  , 19.22192 ,   0.036335 ,103.6501  ,-28.38344 ,       14.96548  ,        16.72568  ,13.70172
 491 ,66.90246 ,19.44577  , 19.23115 ,   0.374917 ,96.80088  ,-38.77381 ,       14.23876  ,        15.93416  ,12.90313
 492 ,73.09979 ,10.71938  , 19.2409  ,   0.024459 ,79.12719  ,-9.106934 ,       11.95069  ,        12.97604  ,10.93498
 493 ,66.45571 ,15.52115  , 19.24494 ,   0.269395 ,118.904   ,-10.06363 ,       11.39576  ,        12.3829   ,10.40406
 494 ,74.29351 ,24.59512  , 19.28573 ,   0.017904 ,139.4934  ,-268.4311 ,       12.32212  ,        13.40282  ,11.28861
 495 ,70.57883 ,17.69383  , 19.29723 ,   0.019926 ,86.24015  ,-30.23766 ,       13.7573   ,        15.27889  ,12.55623
 496 ,66.30695 ,17.26808  , 19.31284 ,   0.193136 ,107.2612  ,-27.18843 ,       11.99825  ,        13.48121  ,10.79619
 497 ,60.26614 ,18.021    , 19.31467 ,   1.414251 ,15.73351  ,-1.234416 ,       20.24788  ,        20.90979  ,18.32272
 498 ,73.95479 ,24.36248  , 19.32531 ,   0.017549 ,74.02715  ,-50.00419 ,       13.73327  ,        15.21893  ,12.54541
 499 ,76.32308 ,19.48054  , 19.35682 ,   0.199498 ,215.0075  ,-87.86843 ,       18.66301  ,        19.24345  ,17.98426
 500 ,69.31109 ,11.32407  , 19.36441 ,   0.026083 ,90.7666   ,-10.42262 ,       14.64866  ,        16.32363  ,13.40622
 501 ,73.0807  ,25.32562  , 19.38589 ,   0.038733 ,5.512714  ,-109.3647 ,       14.53718  ,        14.44371  ,14.72944
 502 ,71.85127 ,22.66332  , 19.39873 ,   0.069732 ,80.96905  ,-43.01111 ,       16.31094  ,        18.43761  ,14.95689
 503 ,59.14883 ,19.35408  , 19.39903 ,   0.241646 ,305.4827  ,-112.8065 ,       14.15424  ,        15.77231  ,12.92178
 504 ,69.9364  ,23.5326   , 19.40166 ,   0.0468   ,88.09087  ,-45.47289 ,       15.67247  ,        17.57644  ,14.37369
 505 ,61.93719 , 9.756052 , 19.40337 ,   0.064641 ,68.82291  ,-18.05137 ,       11.96029  ,        12.90838  ,10.82044
 506 ,69.29169 ,12.10546  , 19.4189  ,   0.028291 ,88.76563  ,-10.60712 ,       14.79886  ,        16.59215  ,13.52638
 507 ,64.75339 ,23.97293  , 19.42    ,   0.034209 ,38.38318  ,-388.9488 ,       14.1276   ,        15.69347  ,12.91239
 508 ,76.79219 ,13.2697   , 19.42029 ,   0.075663 ,68.7101   ,-18.76066 ,       14.90429  ,        16.76127  ,13.61748
 509 ,71.30518 ,14.72397  , 19.42565 ,   0.26094  ,83.0508   ,-22.87114 ,       18.6128   ,        21.27448  ,17.08253
 510 ,70.74408 ,20.60466  , 19.42636 ,   0.019645 ,82.63151  ,-38.74066 ,       13.76686  ,        15.25926  ,12.57463
 511 ,66.5909  ,18.00015  , 19.42753 ,   0.032499 ,97.85772  ,-29.73413 ,       14.30155  ,        16.13848  ,13.01561
 512 ,64.18155 ,24.78822  , 19.43473 ,   0.017951 ,380.831   ,27.26247  ,       13.35942  ,        14.7369   ,12.19478
 513 ,64.18135 ,24.78727  , 19.43937 ,   0.015631 ,382.1241  ,27.67131  ,       13.10999  ,        14.44032  ,11.96593
 514 ,63.0901  ,14.55462  , 19.46719 ,   0.041979 ,-84.4781  ,-279.9996 ,       15.63984  ,        17.42862  ,14.37031
 515 ,70.98066 ,20.14458  , 19.48387 ,   0.118445 ,83.25499  ,-43.26336 ,       17.28215  ,        19.74545  ,15.8609
 516 ,68.34947 ,23.9907   , 19.48791 ,   0.539092 ,92.17436  ,-55.50928 ,       12.34354  ,        12.89201  ,10.50688
 517 ,64.59714 ,21.57915  , 19.50528 ,   0.239158 ,89.59457  ,-16.32806 ,        5.553771 ,         5.712453 , 5.314287
 518 ,68.91383 ,10.16061  , 19.50607 ,   0.827645 ,47.93717  ,-31.40745 ,        4.107345 ,         4.292002 , 4.01858
 519 ,67.16629 ,26.21992  , 19.52006 ,   0.330922 ,69.79929  ,-38.11119 ,       10.36718  ,        11.1884   , 9.459703
 520 ,67.40472 ,19.63926  , 19.52414 ,   0.019779 ,-45.53548 ,-59.70836 ,        9.142133 ,         9.551387 , 8.564485
 521 ,66.06454 ,12.24723  , 19.53082 ,   0.029762 ,99.62091  ,-12.87604 ,       14.66859  ,        16.37052  ,13.41844
 522 ,60.08095 ,21.64459  , 19.53718 ,   0.207772 ,88.66723  ,1.301106  ,       18.6081   ,        18.9344   ,18.16865
 523 ,76.5489  ,12.56506  , 19.5518  ,   0.025798 ,-62.29411 ,-69.72872 ,       14.13835  ,        15.57193  ,12.96713
 524 ,67.65959 ,22.90781  , 19.5928  ,   0.056674 ,89.44028  ,-43.03547 ,       11.91111  ,        13.19165  ,10.78463
 525 ,71.13219 ,23.94087  , 19.59558 ,   0.023907 ,86.20933  ,-48.60457 ,       14.20143  ,        15.8585   ,12.96179
 526 ,76.32451 ,19.47877  , 19.60583 ,   0.187612 ,215.2923  ,-84.77518 ,       18.55271  ,        19.10829  ,17.89509
 527 ,61.07804 ,14.96233  , 19.62998 ,   0.061918 ,115.3136  ,-174.4165 ,       15.17179  ,        17.05454  ,13.86266
